Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C16","100nF","C_0603_1608Metric",13.5000,15.5000,0.0000,bottom
"C17","10uF","C_0805_2012Metric",12.5000,25.0000,90.0000,bottom
"C20","22pF","C_0603_1608Metric",29.6500,20.8367,180.0000,bottom
"C21","0.1uF","C_0603_1608Metric",22.3500,13.7000,180.0000,bottom
"C22","0.1uF","C_0603_1608Metric",16.0675,23.4500,180.0000,bottom
"C23","0.1uF","C_0603_1608Metric",11.0325,41.8000,0.0000,bottom
"C24","0.1uF","C_0603_1608Metric",26.1500,16.4500,45.0000,bottom
"C25","10 pF","C_0603_1608Metric",28.1361,37.8134,-135.0000,bottom
"C26","10 pF","C_0603_1608Metric",27.9024,41.1154,135.0000,bottom
"D3","BZV55C-6,2V","D_MiniMELF",9.0000,15.5000,180.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",-2.9018,38.5258,0.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",-2.9018,42.0758,0.0000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",-2.9018,45.6258,0.0000,bottom
"FL1","DEA202450BT-1213C1","DEA202450BT-1213C1",32.5500,20.8500,0.0000,bottom
"J1","Conn_Coaxial","MCX",41.0000,21.0000,-90.0000,top
"J2","3.3-5V","Straight_2x03",9.0000,20.5000,0.0000,top
"J3","JUMP_5X2","Straight_2x04",28.8800,8.8625,90.0000,top
"J4","JUMP_5X2","Straight_2x04",30.4800,31.5800,90.0000,top
"M1","HOLE","MountingHole_3mm",10.1600,30.4800,0.0000,top
"M2","HOLE","MountingHole_3mm",40.6400,30.4800,0.0000,top
"M3","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M4","HOLE","MountingHole_3mm",40.6400,10.1600,0.0000,top
"R18","0","R_0603_1608Metric",39.2500,38.5000,180.0000,bottom
"U1","TXS0104EPW","TSSOP-14_4.4x5mm_P0.65mm",18.2500,30.9200,90.0000,bottom
"U2","CC2564CRVMR","RVM0076A",22.2863,20.7065,-135.0000,bottom
"U3","TXS0104EPW","TSSOP-14_4.4x5mm_P0.65mm",18.3500,10.5000,-90.0000,bottom
"Y3","ECS-260-8-36CKM-TR","XTAL_ECS-260-8-36CKM-TR",26.3393,39.5914,135.0000,bottom
